SKUFamily,ModelName,GroupName
BG-001-1,Game Insert for Dinosaur Island,Dinosaur Island
BG-002-1-BLK,Hardback -- Inception,Hardback
BG-002-1-BRN,Hardback -- Inception,Hardback
BG-002-1-CPR,Hardback -- Inception,Hardback
BG-002-1-GLD,Hardback -- Inception,Hardback
BG-002-1-GRY,Hardback -- Inception,Hardback
BG-002-2-CPR,Deluxe Hardback -- Inception,Hardback
BG-002-2-GLD,Deluxe Hardback -- Inception,Hardback
BG-002-2-SLVR,Deluxe Hardback -- Inception,Hardback
BG-003-1,Heist Kit for Burgle Bros board game,Burgle Bros
BG-004-1-WHT,Traveling Med Kit for Pandemic: The Cure (Base Game),Pandemic: The Cure
BG-004-2-GRN,Traveling Med Kit XL for Pandemic: The Cure and Experimental Meds,Pandemic: The Cure
BG-004-2-WHT,Traveling Med Kit XL for Pandemic: The Cure and Experimental Meds,Pandemic: The Cure
BG-004-3-GRN,Traveling Med Kit XL-S for Pandemic: The Cure and Experimental Meds (Sleeved),Pandemic: The Cure
BG-004-3-WHT,Traveling Med Kit XL-S for Pandemic: The Cure and Experimental Meds (Sleeved),Pandemic: The Cure
BG-005-1,Traveling Spice Box For Century: Spice Road,Century Spice Road
BG-007-1,Port of Call - Board Game Insert for Container 10th Anniversary,Container 10th Anniversary
BG-008-1,Gate 53 - Now Boarding board game insert,Now Boarding
BG-008-2,Gate B53 - Now Boarding (2nd Edition) board game insert,Now Boarding
BG-009-1,Karve - 3D Printed Board Game Insert for Explorers of the North Sea and Rocks of Ruin Expansion,Explorers of the North Sea
BG-010-1,Dinosaurs All The Way Down - Board game insert for Dinosaur Island and Totally Liquid Expansion,Dinosaur Island
BG-010-1-T,Dinosaurs All The Way Down - Board game insert for Dinosaur Island and Totally Liquid Expansion (w/T-Rex),Dinosaur Island
BG-011-1-BLK,Streets of Turin - Board game insert for Getaway Driver,Getaway Driver
BG-011-1-GRY,Streets of Turin - Board game insert for Getaway Driver,Getaway Driver
BG-011-1-RED,Streets of Turin - Board game insert for Getaway Driver,Getaway Driver
BG-011-1-STD,Streets of Turin - Board game insert for Getaway Driver,Getaway Driver
BG-012-1,The Refinery - Board Game Insert for Pipeline,Refinery
BG-012-2,The Refinery QL - A Board Game Insert for Pipeline w/QuadLocks,Refinery
BG-012-3,QuadLocks w/Carrier,Refinery
BG-012-4,The Refinery EM - Board Game Insert for Pipeline and Emerging Markets Expansion,Pipeline
BG-012-5,The Refinery EM-QL - Board Game Insert for Pipeline / Emerging Markets w/QuadLocks,Pipeline
BG-012-6,The Refinery EM Expansion Trays,Pipeline
BG-013-1-STD,Stir Fry - Board Game Insert for Wok Star 3rd Edition,Wok Star
BG-014-1-BLU-PMG,Barbican - Travel Box for Carcassonne Base Game,Carcassonne
BG-014-1-BLU-PMP,Barbican - Travel Box for Carcassonne Base Game,Carcassonne
BG-014-1-GRN-BRN,Barbican - Travel Box for Carcassonne Base Game,Carcassonne
BG-014-1-WHT-PMP,Barbican - Travel Box for Carcassonne Base Game,Carcassonne
BG-014-2-BLU-PMP,Barbican XL - Travel Box for Carcassonne Base Game and Expansions,Carcassonne
BG-014-2-GRN-BRN,Barbican XL - Travel Box for Carcassonne Base Game and Expansions,Carcassonne
BG-014-2-GRN-PMP,Barbican XL - Travel Box for Carcassonne Base Game and Expansions,Carcassonne
BG-014-2-WHT-GRY,Barbican XL - Travel Box for Carcassonne Base Game and Expansions,Carcassonne
BG-014-2-WHT-PMP,Barbican XL - Travel Box for Carcassonne Base Game and Expansions,Carcassonne
BG-015-2-GREY,Can You Hear Me Now? - KS-Deluxe - Board Game Insert for Smartphone Inc.,"Smartphone, Inc"
BG-015-2-PCMT,Can You Hear Me Now? - KS-Deluxe - Board Game Insert for Smartphone Inc.,"Smartphone, Inc"
BG-015-2-WHT,Can You Hear Me Now? - KS-Deluxe - Board Game Insert for Smartphone Inc.,"Smartphone, Inc"
BG-015-3-GREY,Can You Hear Me Now? - RT-Deluxe - Board Game Insert for Smartphone Inc.,"Smartphone, Inc"
BG-015-3-PCMT,Can You Hear Me Now? - RT-Deluxe - Board Game Insert for Smartphone Inc.,"Smartphone, Inc"
BG-015-3-WHT,Can You Hear Me Now? - RT-Deluxe - Board Game Insert for Smartphone Inc.,"Smartphone, Inc"
BG-015-4-PCMT,Can You Hear Me Now? - RT-Deluxe XL - Board Game Insert for Smartphone Inc.,"Smartphone, Inc"
BG-015-4-WHT,Can You Hear Me Now? - RT-Deluxe XL - Board Game Insert for Smartphone Inc.,"Smartphone, Inc"
BG-016-1,Tomb of the Pharaohs - Board Game Insert for Luxor / Queenies / Mummies Curse,Luxor
BG-017-1,Funhouse - Board Game Insert for The Grand Carnival,Grand Carnival
BG-017-2,Funhouse - Board Game Insert for The Grand Carnival,Grand Carnival
BG-019-1-GREY,Arzhan - Board Game Insert for Raiders of Scythia,Raiders of Scythia
BG-019-1-OGRN,Arzhan - Board Game Insert for Raiders of Scythia,Raiders of Scythia
BG-019-1-STD,Arzhan - Board Game Insert for Raiders of Scythia,Raiders of Scythia
BG-020-1-BLK,Villains' Cabal - Board Game Insert for Word Domination,Word Domination
BG-020-1-GREY,Villains' Cabal - Board Game Insert for Word Domination,Word Domination
BG-020-1-TRED,Villains' Cabal - Board Game Insert for Word Domination,Word Domination
BG-020-1-WHT,Villains' Cabal - Board Game Insert for Word Domination,Word Domination
BG-021-1-BEIGE,Funtley Mill - Travel Box for Furnace,Furnace
BG-021-1-BLK,Funtley Mill - Travel Box for Furnace,Furnace
BG-021-2-BEIGE,Funtley Mill Deluxe - Travel Box for Furnace w/Resource Upgrade,Furnace
BG-021-2-BLK,Funtley Mill Deluxe - Travel Box for Furnace w/Resource Upgrade,Furnace
BG-021-3,Furnace Resource and Upgrade Pack,Furnace
BG-022-1-PCMT,Spokeshute - Board game insert for Boonlake,
BG-022-1-WHT,Spokeshute - Board game insert for Boonlake,
BG-022-2-PCMT,Spokeshute - Board game insert for Boonlake w/Split Trays,
BG-023-1-BLK,Déjà vu All Over Again - Board Game Insert for The Loop and Fauxzilla Expansion,Loop
BG-023-1-GREY,Déjà vu All Over Again - Board Game Insert for The Loop and Fauxzilla Expansion,Loop
BG-023-1-WHT,Déjà vu All Over Again - Board Game Insert for The Loop and Fauxzilla Expansion,Loop
BG-024-1-STD,Imperators Council - Board Game Insert for Imperium Classics / Imperium Legends (Unsleeved),
BG-024-1-WHT,Imperators Council - Board Game Insert for Imperium Classics / Imperium Legends (Unsleeved),
BG-024-2-STD,Imperators Council - Board Game Insert for Imperium Classics / Imperium Legends (Sleeved),
WW-BLK-WHT-BLK,Wordle Companion - Standard Black,Wordle
WW-BLU-WHT-BLU,Wordle Companion - Standard Blue,Wordle
WW-CBR-BLU-BLU,Wordle Companion - Color Block Robot - Blue / Blue,Wordle
WW-CBR-BLU-GREY,Wordle Companion - Color Block Robot - Blue / Grey,Wordle
WW-CBR-GRN-GRN,Wordle Companion - Color Block Robot - Green / Green,Wordle
WW-CBR-TRD-TRD,Wordle Companion - Color Block Robot - True Red / True Red,Wordle
WW-GRN-WHT-GRN,Wordle Companion - Standard Green,Wordle
WW-GRY-WHT-BLK,Wordle Companion - Standard Grey,Wordle
WW-OLV-TAN-DGR,Wordle Companion - Olive Green,Wordle
WW-RED-WHT-RED,Wordle Companion - Standard Red,Wordle
WW-TAN-OLV-LILC,Wordle Companion - Forest Lilac,Wordle
